fault_node,node,ua,ua_angle,ub,ub_angle,uc,uc_angle,ia,ia_angle,ib,ib_angle,ic,ic_angle
11,12,5952.9973,-0.2283,6778.6634,-2.1072,6690.3618,2.1151,12.8954,0.4945,35.9637,-1.3111,6.0685,2.3555
11,13,6003.8151,-0.2083,6742.9394,-2.1033,6683.9761,2.1085,23.2143,-1.3506,35.1606,1.8055,2.7757,-1.2951
11,14,6038.494,-0.1885,6746.5704,-2.1014,6671.1601,2.1081,21.9524,2.3463,13.6018,-1.1752,11.9961,1.7759
11,15,6069.1684,-0.1767,6734.4788,-2.102,6680.1359,2.1068,7.1142,-0.4395,5.1595,2.1763,10.4199,-1.2717
11,16,6094.7747,-0.1653,6728.5008,-2.1007,6675.3835,2.1053,0.8154,-1.6503,9.041,-1.4269,9.2647,1.7066
11,17,6118.8331,-0.152,6710.7771,-2.1005,6682.8814,2.1029,12.2666,1.7476,9.3629,1.7035,18.0946,-1.4212
11,18,6403.9816,-0.0684,6661.5709,-2.0974,6689.209,2.095,66.3044,1.9535,51.2191,-1.2608,0.5145,0.1935
11,19,6266.6896,-0.1098,6678.3249,-2.101,6701.4839,2.0989,9.8828,1.206,5.0097,2.0194,12.5758,-1.3145
11,20,6108.3102,-0.1647,6706.5995,-2.1027,6697.6569,2.1034,26.1987,-1.0618,88.6884,1.9187,45.6858,-1.2257
11,21,6018.2879,-0.1991,6777.4276,-2.1026,6663.3343,2.1127,42.2098,2.2234,102.5288,-1.2307,80.7397,1.8557
11,22,6350.0188,-0.0791,6658.8388,-2.0953,6678.4655,2.0936,16.5813,1.294,19.2405,-1.2043,6.2155,-0.9618
11,23,6323.2855,-0.0844,6658.543,-2.0946,6674.3296,2.0932,18.9253,2.8428,11.98,1.7462,2.7732,2.9735
11,24,6286.3327,-0.1004,6675.3822,-2.0949,6668.0278,2.0956,13.4093,-1.1814,8.3343,-1.4422,16.2482,1.7885
11,25,6226.7023,-0.1148,6688.7842,-2.0991,6685.5906,2.0994,7.3232,1.9446,7.1696,-1.3017,1.0873,1.4489
11,26,6235.3499,-0.113,6684.1672,-2.0985,6684.0959,2.0985,6.5292,-1.1406,4.221,1.9432,0.5116,2.4536
11,27,6242.0754,-0.1102,6681.6903,-2.0979,6681.9107,2.0978,5.1563,1.9252,1.8882,-1.2157,1.7679,-1.2226
11,28,6251.1013,-0.1084,6678.3763,-2.0971,6678.8915,2.097,2.1837,-1.3796,28.2177,1.8066,21.9922,-1.3335
11,29,6223.0742,-0.1189,6703.5446,-2.0971,6666.8839,2.1003,6.1701,1.5749,18.6725,-1.3629,8.7046,1.7767
11,30,6194.8828,-0.1289,6713.9542,-2.0971,6661.6881,2.1017,4.6274,2.5639,9.0746,-1.2753,11.2755,1.7821
11,31,6168.7846,-0.1378,6714.2067,-2.0985,6669.6665,2.1024,3.673,0.1802,4.7547,-1.2556,3.0401,-1.6225
11,32,6138.9599,-0.1469,6708.0505,-2.0989,6674.7369,2.1018,9.6161,-1.81,8.6607,1.8131,8.7119,1.6531
9,0,6666.9392,-0.0006,6668.3956,-2.0944,6668.3956,2.0944,238.8443,-1.2888,16.2048,-1.2888,67.939,1.8528
9,1,6367.8583,-0.0564,6648.1039,-2.1074,6753.4689,2.0981,95.6638,-0.559,146.8567,2.0059,113.6809,-1.2261
9,2,6273.7529,-0.0782,6708.0323,-2.108,6728.3479,2.1062,59.4683,2.2251,98.0282,-1.17,60.6233,1.9104
9,3,6205.3314,-0.0956,6702.5648,-2.1118,6753.5844,2.1073,41.8404,-1.0507,48.5519,1.9014,15.0907,-1.4094
9,4,6139.4725,-0.1088,6737.0074,-2.1148,6754.8723,2.1132,36.584,1.6425,36.5508,-1.2727,13.7447,-1.0605
9,5,6090.9855,-0.121,6745.0863,-2.1135,6743.5282,2.1136,18.2623,2.826,3.1099,-0.4481,14.1264,2.05
9,6,6011.443,-0.147,6754.7766,-2.1153,6749.7429,2.1157,26.0177,-0.294,26.0213,2.2309,31.3549,-1.0303
9,7,5959.8472,-0.1616,6778.6182,-2.1137,6729.2112,2.1181,95.6315,2.5039,113.1018,-0.9973,67.3451,2.046
9,8,5872.5798,-0.1899,6753.8108,-2.117,6760.2338,2.1164,51.2439,2.1648,19.6407,1.6632,34.3421,-1.3264
9,9,5783.124,-0.2437,6761.9645,-2.1157,6749.1157,2.1169,115.4246,1.8663,20.7383,-1.2341,20.7873,1.8922
9,10,5840.3238,-0.2123,6744.7311,-2.1169,6763.8075,2.1152,16.7116,1.9648,18.1655,1.9507,25.2558,-1.1898
9,11,5917.8726,-0.186,6748.8682,-2.1147,6748.6999,2.1147,13.4929,-2.9656,14.1161,-1.083,28.3671,1.9449
9,12,5911.9756,-0.1855,6748.6867,-2.1155,6753.6975,2.115,4.7716,1.6091,1.8424,-1.2421,2.8324,-1.6528
9,13,5909.3644,-0.1848,6747.0815,-2.1159,6756.8928,2.115,2.2711,-1.4501,1.855,1.8877,0.6188,1.2778
9,14,5904.1178,-0.1842,6746.8641,-2.1166,6761.2433,2.1153,18.8881,-0.3974,6.0275,2.3999,5.4106,-1.247
9,15,5923.3081,-0.1764,6743.5798,-2.1164,6761.7052,2.1148,5.8819,2.0949,2.0832,1.7818,4.0709,-1.2654
9,16,5954.6599,-0.1672,6741.7284,-2.1156,6757.6204,2.1142,1.5451,1.6171,5.6684,-1.2763,2.9018,1.8866
9,17,5971.7062,-0.1619,6737.4148,-2.1152,6757.2345,2.1134,11.2357,-1.0283,7.0515,1.8742,2.2435,-1.4667
9,18,6286.5959,-0.0711,6667.1187,-2.1083,6749.5696,2.101,63.7449,2.2853,46.2296,-1.0396,3.1032,2.2814
9,19,6164.5462,-0.1033,6661.7197,-2.1068,6743.7626,2.0996,31.1702,-2.2459,74.7844,1.8138,1.3108,2.8941
9,20,6025.7746,-0.1493,6736.012,-2.112,6738.7747,2.1117,39.7987,-0.0982,27.7108,-2.5687,14.837,1.3053
9,21,5977.6624,-0.1683,6740.7679,-2.1152,6755.7303,2.1139,29.9683,-0.2887,5.3768,2.4872,29.3294,-1.2883
9,22,6249.6312,-0.0837,6705.1981,-2.1084,6732.3392,2.106,8.3414,-1.5467,14.1392,1.8576,1.2909,-1.0377
9,23,6204.2311,-0.0942,6714.3066,-2.11,6737.3767,2.108,23.4779,-0.6086,36.0729,2.1245,24.9298,-1.1231
9,24,6162.7315,-0.1037,6742.2759,-2.1102,6725.1651,2.1117,28.3835,2.6474,40.1319,-1.0295,35.8795,1.9083
9,25,6096.7455,-0.1198,6745.0629,-2.1133,6742.6173,2.1136,3.5852,-0.9034,2.4491,1.7964,1.0837,-1.5745
9,26,6109.6229,-0.1161,6748.5964,-2.1129,6738.2729,2.1138,3.2295,1.5478,6.4576,-1.3893,1.4166,1.8658
9,27,6118.0274,-0.1137,6745.7302,-2.1125,6737.1846,2.1133,3.4551,-2.7922,4.4675,1.7551,1.2765,1.6645
9,28,6130.172,-0.1111,6746.168,-2.1125,6736.8954,2.1133,13.1414,0.9281,1.9496,-1.8592,21.1592,-1.3728
9,29,6096.0428,-0.1216,6751.6838,-2.1119,6730.5856,2.1137,4.4378,-2.6461,1.739,-0.95,10.1089,1.8623
9,30,6059.3653,-0.1323,6755.1985,-2.1133,6737.649,2.1149,7.9901,1.7697,9.462,-1.3529,0.4937,1.8546
9,31,6033.7113,-0.1414,6746.1068,-2.1139,6745.2871,2.114,8.1039,-0.8026,1.09,0.3344,0.921,-2.8782
9,32,5998.4584,-0.1497,6737.0746,-2.1145,6752.962,2.113,9.8964,2.3824,7.031,1.9426,3.049,-0.9726
16,0,6666.799,-0.0006,6668.3956,-2.0944,6668.3956,2.0944,279.2193,-1.2738,131.8845,1.8678,49.604,-1.2738
16,1,6422.1338,-0.0575,6783.959,-2.0967,6624.9302,2.1107,34.4053,0.2581,63.9856,-1.5562,58.6014,1.785
16,2,6296.3803,-0.0784,6833.113,-2.0994,6617.55,2.1185,33.6471,2.3962,21.5051,-0.9579,2.7969,1.8656
16,3,6242.1627,-0.0888,6856.5186,-2.1001,6610.6026,2.122,31.5499,2.3912,33.7962,-1.003,13.2843,2.0983
16,4,6188.4755,-0.1014,6861.0729,-2.1007,6612.1802,2.1229,14.1471,2.6366,8.2092,1.6908,0.4422,-0.5693
16,5,6134.8409,-0.1194,6875.2736,-2.102,6613.7151,2.1254,9.5931,1.3223,26.4096,-1.2633,7.3449,1.997
16,6,6096.9864,-0.129,6858.7328,-2.1026,6625.0955,2.1235,7.1411,2.8239,5.1298,2.3143,5.9952,1.43
16,7,6059.0674,-0.1413,6845.8864,-2.105,6645.2744,2.1229,13.3766,2.4489,13.5388,-0.9074,6.8752,2.3445
16,8,5961.2411,-0.1707,6845.2157,-2.1076,6661.5572,2.1241,5.0403,-2.2143,48.128,1.8044,24.2117,-1.3316
16,9,5969.6182,-0.1682,6845.3212,-2.1076,6661.7453,2.1241,3.2582,0.3915,0.4359,-1.2877,5.6015,-1.3673
16,10,5979.1706,-0.1654,6845.16,-2.1071,6658.3848,2.1238,5.3843,-1.3744,7.7756,1.7584,1.161,-1.3977
16,11,5992.0657,-0.1607,6855.2423,-2.1064,6649.7538,2.1249,27.7932,2.7988,17.3132,-0.8489,24.581,2.1046
16,12,5951.712,-0.174,6871.7282,-2.1071,6646.1351,2.1274,11.5789,2.6911,9.3395,-1.0092,16.9942,1.744
16,13,5915.8186,-0.1868,6881.2797,-2.1096,6657.1617,2.1299,11.4343,1.0443,2.8934,-2.1595,21.5093,-1.362
16,14,5883.8969,-0.2015,6890.0041,-2.1088,6648.5194,2.1307,79.8311,-0.5072,18.97,-2.7223,7.8895,1.0586
16,15,5726.2367,-0.2388,6939.5012,-2.1099,6632.7141,2.1378,119.0614,2.3836,69.0339,-1.0598,39.0428,1.9395
16,16,5637.7931,-0.2895,6922.3074,-2.1132,6660.5933,2.137,155.0845,1.854,42.3089,-1.1591,21.2919,-1.3856
16,17,5708.7202,-0.2657,6876.7961,-2.1099,6661.0118,2.1294,43.1069,-1.1832,57.0999,1.9282,0.0646,1.6675
16,18,6367.8314,-0.0709,6782.0001,-2.0985,6636.6729,2.1113,44.9564,-1.0358,54.5911,1.8632,20.7518,-1.3811
16,19,6225.351,-0.1017,6835.8887,-2.1026,6635.871,2.1205,44.3839,1.8847,62.1367,-1.2727,17.3342,1.8634
16,20,6109.6097,-0.1302,6822.1046,-2.1051,6656.9024,2.1198,26.173,-1.0095,46.8174,1.9398,17.4771,-1.1619
16,21,6047.0093,-0.1468,6834.5526,-2.1075,6665.8165,2.1226,24.5295,0.094,16.7519,2.4196,32.4219,-1.0759
16,22,6260.8443,-0.0856,6840.7992,-2.1002,6618.9719,2.12,1.6311,1.409,21.625,1.9634,19.9046,-1.1883
16,23,6178.2349,-0.1075,6884.0974,-2.1003,6599.2559,2.1258,22.0348,2.0666,38.1274,-1.1877,17.6706,1.9531
16,24,6144.5707,-0.1171,6883.554,-2.1004,6599.7143,2.1257,12.4983,2.8027,22.6433,1.6826,3.3958,-1.4218
16,25,6130.6732,-0.1215,6875.825,-2.102,6613.1372,2.1255,3.6672,-1.7124,5.1818,1.6461,1.5887,1.7441
16,26,6114.2733,-0.1281,6884.3534,-2.1027,6613.6692,2.127,3.1787,-0.4468,6.1164,2.0641,7.5615,-1.2887
16,27,6097.8833,-0.135,6898.5663,-2.1024,6605.304,2.1287,4.7579,2.1596,1.8725,0.4883,1.4592,-2.2158
16,28,6086.9022,-0.1421,6913.0678,-2.102,6596.0192,2.1305,10.6825,0.8807,47.9982,-1.4057,16.7764,1.7581
16,29,6019.9487,-0.1673,6893.1102,-2.1019,6604.7755,2.1278,22.157,-1.2125,4.5003,1.8007,17.0246,1.8859
16,30,5921.4345,-0.1917,6879.8812,-2.1064,6638.2325,2.1282,14.2432,0.7388,15.9148,1.9663,35.9328,-1.1895
16,31,5857.3598,-0.2116,6886.908,-2.1047,6624.8836,2.1283,16.7971,-2.6858,12.6883,-1.1792,40.8959,1.9037
16,32,5772.6829,-0.2356,6879.1563,-2.1102,6661.8559,2.1299,21.3014,1.6561,4.291,1.79,28.646,-1.3201
13,0,6666.8876,-0.0006,6668.3956,-2.0944,6668.3956,2.0944,276.4726,-1.4003,125.8251,1.7413,5.523,1.7413
13,1,6377.2951,-0.0692,6800.1917,-2.1062,6674.1807,2.1175,80.7019,0.5813,126.2945,-1.4173,22.9821,2.1163
13,2,6236.4603,-0.0903,6813.4826,-2.1101,6691.2763,2.1211,51.9083,2.5962,3.4054,0.8784,7.5545,-0.5784
13,3,6167.92,-0.1048,6817.7726,-2.1131,6707.6303,2.123,24.2974,1.8801,15.6662,-1.3311,6.1616,-1.266
13,4,6108.5259,-0.1242,6799.727,-2.114,6721.2403,2.1211,3.2391,-1.9059,33.9613,1.7755,20.9559,-1.3629
13,5,6070.5885,-0.1411,6820.1109,-2.1137,6710.1371,2.1236,9.4383,-0.0749,40.2215,-1.2945,20.4756,1.8609
13,6,6009.4988,-0.1581,6798.6277,-2.1147,6726.1336,2.1213,42.8365,-0.8014,49.7256,2.0716,16.4764,-1.1479
13,7,5953.9833,-0.17,6818.4611,-2.1159,6723.9838,2.1244,67.789,2.3811,53.5872,1.5686,50.1777,-1.3643
13,8,5908.0876,-0.1975,6870.2046,-2.1149,6694.9273,2.1309,9.6222,-0.2612,79.6626,-1.3623,58.6545,1.828
13,9,5886.1417,-0.1994,6872.8242,-2.1169,6705.9842,2.1321,8.0932,1.9543,11.513,-1.1561,1.0595,2.1198
13,10,5870.1934,-0.2,6865.1946,-2.1184,6718.6521,2.1318,7.8724,2.4175,4.4916,2.2804,5.7459,-0.6416
13,11,5853.8913,-0.2028,6858.7588,-2.1203,6732.6517,2.1318,36.2966,1.7581,41.9453,-1.3223,2.6388,-1.8178
13,12,5796.6056,-0.2294,6829.7821,-2.1212,6751.114,2.1283,7.1458,-1.4822,52.7181,1.7971,26.1304,-1.342
13,13,5746.8563,-0.259,6865.6357,-2.1214,6736.3541,2.1332,163.0661,1.8433,21.8625,-1.3927,34.1042,-1.2462
13,14,5858.4081,-0.2237,6876.3563,-2.1148,6691.0073,2.1316,25.0871,-1.1351,24.3425,-1.3008,40.8468,1.8895
13,15,5884.8853,-0.215,6871.7892,-2.1129,6681.8728,2.1301,19.1251,-1.3704,6.7711,1.7746,13.8849,1.7747
13,16,5905.3729,-0.1995,6873.2175,-2.1136,6685.2186,2.1306,28.049,2.3555,4.9279,-1.0553,1.3358,2.8803
13,17,5934.7852,-0.1926,6870.3443,-2.1137,6687.5074,2.1303,9.7859,-0.3842,34.9408,-1.1641,26.5603,1.9766
13,18,6314.7293,-0.0832,6792.4059,-2.1066,6680.1793,2.1166,12.3907,2.9459,18.8286,1.9162,1.2029,-0.2197
13,19,6162.1363,-0.1262,6800.077,-2.1096,6694.7617,2.1191,51.2715,-0.7611,4.2987,2.2327,17.4255,2.1187
13,20,6022.5951,-0.1512,6808.7587,-2.1145,6719.9744,2.1225,37.4115,2.3484,10.343,1.8136,19.9165,-1.084
13,21,5932.6689,-0.1768,6826.0965,-2.1168,6725.9187,2.1258,6.0386,-2.8299,14.3742,1.7222,1.3352,1.5004
13,22,6217.0375,-0.0968,6818.9029,-2.1102,6689.5984,2.1218,6.4282,2.2625,22.7897,-1.2596,19.6903,1.8617
13,23,6167.6056,-0.1109,6802.6779,-2.1128,6712.5719,2.1209,19.0277,-0.162,26.3292,2.0695,36.773,-1.0744
13,24,6133.2532,-0.1209,6814.1017,-2.1111,6696.7785,2.1216,9.0707,-1.1913,7.9467,-0.8672,18.8689,2.2373
13,25,6073.2582,-0.1397,6819.7243,-2.1133,6707.6689,2.1234,3.1347,2.322,0.4671,-0.8277,0.9199,0.9981
13,26,6080.4769,-0.1372,6818.6663,-2.1126,6703.9902,2.1229,2.3754,-0.8542,0.2985,2.3482,0.4899,2.9385
13,27,6087.9795,-0.1336,6817.4946,-2.1117,6698.9872,2.1223,4.5163,-1.1825,2.6418,1.8856,0.8596,2.2172
13,28,6089.4637,-0.1301,6820.0301,-2.1112,6694.87,2.1224,25.9993,2.7039,3.0116,-0.0909,8.2931,1.932
13,29,6054.0589,-0.1415,6828.1106,-2.1123,6698.1314,2.1241,1.7699,-1.9851,13.6582,1.7588,7.2478,-1.3526
13,30,6018.0002,-0.155,6849.9595,-2.1133,6693.9115,2.1274,7.1065,2.1507,25.0273,-1.3788,20.67,1.7035
13,31,5981.0601,-0.1668,6845.2641,-2.1164,6715.1516,2.1282,12.9357,1.4977,0.5581,0.0343,20.2988,-1.4284
13,32,5960.2739,-0.1798,6840.4762,-2.1153,6710.3215,2.1271,17.3177,-0.9933,42.5681,1.9822,25.9653,-1.1217
22,0,6667.3298,-0.0007,6668.3956,-2.0944,6668.3956,2.0944,374.896,-1.2785,302.6597,1.8631,76.3382,-1.2785
22,1,6422.5047,-0.0615,6866.0469,-2.1021,6618.5431,2.1242,217.52,1.7819,356.2053,-1.2627,101.4173,1.8899
22,2,6283.3111,-0.1054,6821.1643,-2.1022,6640.1075,2.1183,60.2644,-1.8191,98.4603,1.8855,39.1089,1.6862
22,3,6289.2037,-0.1026,6830.6811,-2.1026,6637.867,2.1197,1.9472,2.104,1.2052,-1.8184,0.7498,1.6888
22,4,6296.4244,-0.1002,6837.5493,-2.1029,6636.8306,2.1208,2.5494,-1.1071,1.0,1.194,0.144,2.4355
22,5,6301.1139,-0.0976,6846.0925,-2.1034,6635.8494,2.1222,10.0386,2.1544,10.6731,-1.2871,6.399,1.8042
22,6,6320.3589,-0.092,6842.2473,-2.1034,6637.7396,2.1217,5.3202,-1.1219,10.7996,1.9215,5.1232,-1.2197
22,7,6340.6318,-0.0861,6850.6709,-2.1035,6633.8364,2.1228,2.5287,1.6018,0.7266,1.4022,4.2061,-1.3146
22,8,6339.1013,-0.087,6851.9395,-2.1034,6632.6747,2.123,1.0791,2.734,1.0784,-1.5215,1.9579,1.7293
22,9,6341.3745,-0.0866,6852.5665,-2.1034,6632.5065,2.1231,0.6944,-0.3938,0.3632,-0.9088,0.1199,-1.7157
22,10,6344.1012,-0.0858,6853.0158,-2.1034,6632.108,2.1231,0.1929,-1.044,0.2825,1.7138,0.2028,-1.4368
22,11,6345.9461,-0.0852,6853.6433,-2.1033,6631.601,2.1232,1.8784,1.222,1.5912,-1.1237,1.6609,-1.2074
22,12,6342.5334,-0.086,6852.794,-2.1032,6631.3814,2.123,1.8056,-3.0862,0.963,2.2411,1.783,1.825
22,13,6338.8627,-0.0871,6852.463,-2.1034,6632.4396,2.123,1.1943,1.9688,1.1046,-1.4719,0.5422,1.524
22,14,6334.8848,-0.0886,6850.8534,-2.1036,6634.483,2.1229,1.502,1.6438,0.5671,-1.3667,1.2065,-1.4703
22,15,6327.9231,-0.0918,6847.0494,-2.1037,6637.1544,2.1225,1.9413,-1.619,0.8393,1.8365,2.1296,1.6128
22,16,6317.8408,-0.0953,6844.1807,-2.1045,6642.9777,2.1225,1.7699,-0.101,0.9066,-0.7207,2.8722,-1.5841
22,17,6309.7948,-0.0977,6841.2893,-2.1045,6644.3532,2.1221,4.2962,-1.6408,2.6376,1.8955,4.1306,1.7065
22,18,6412.5282,-0.0649,6861.6209,-2.1021,6620.3523,2.1236,2.994,-1.1237,1.5395,-1.1454,3.4013,1.8855
22,19,6380.2268,-0.0738,6847.0007,-2.1026,6630.0983,2.1219,6.6434,-1.8131,26.6912,1.7925,11.7812,-1.3257
22,20,6361.1214,-0.0808,6857.2668,-2.1029,6627.1268,2.1234,6.4735,1.4193,25.2051,-1.3718,13.1155,1.7956
22,21,6356.633,-0.0827,6854.1031,-2.103,6629.3888,2.1231,4.4858,-1.132,2.6625,1.669,0.4898,-2.0841
22,22,6202.7104,-0.13,6840.8918,-2.108,6665.7173,2.1237,218.8249,1.8168,55.4354,-1.3192,61.7802,-1.3456
22,23,6223.6651,-0.1246,6834.2049,-2.1074,6665.5063,2.1225,10.0226,-0.9838,6.546,2.0084,0.2794,1.9718
22,24,6245.3902,-0.1163,6831.9689,-2.1073,6665.5366,2.1222,1.9386,-0.2731,7.3593,1.7829,9.1241,-1.3827
22,25,6295.8631,-0.0995,6846.2126,-2.1038,6638.2403,2.1224,0.8107,1.1912,3.6128,-1.3587,1.478,1.9261
22,26,6285.0117,-0.1029,6841.0358,-2.1047,6645.8495,2.1222,1.5923,-0.6805,5.033,1.8232,5.2297,-1.3517
22,27,6275.1503,-0.1066,6842.9016,-2.1048,6645.6347,2.1225,2.1566,2.6267,3.8521,-1.3581,5.796,1.7051
22,28,6266.2423,-0.1097,6840.0316,-2.1058,6652.752,2.1225,0.7626,2.8136,1.9583,-1.4165,2.5684,1.8414
